Family,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3
Xanthomonadaceae,4689,122,2914,2107,5534,10492,33324,52325,22223,55174,40,5621,1099,158,427,959,9009,29,55386,6489,160925,18348,43474,20714,80016,20492,44701,353,297,311,311,9672,91045,44695,68415,48716,55490,188800,75978,1205974,60389,24106,11329,189983,224306,95,781,5101,9566,3786,169867,85184,74030,105932,133325,113957,166384,75,204,86521,141480,7,28,49,19,5,19,1134,13775
Pseudomonadaceae,91,3,418,306,2737,243,166,289,70,1209,17,2719,70117,35,73682,63316,162,16,88,432,271,55,153,231,468,1546,1247,65539,59443,57278,88805,35496,440,51,115,135,96,251,413,2281,1879,1149,20663,90283,127812,27,175271,54711,2168,500,21887,10201,198,6637,1143,38872,401,8,12,8267,8342,11,38,14,23,3,38,135148,5199
Enterococcaceae,275,23,7381,17418,81794,19472,30631,6415,17914,34003,18,49309,17773,17,4388,487,993,12,9945,25167,28182,13649,19376,24255,291,221,435,831,841,231,263,2741,1346,1651,5183,13970,3928,33299,21262,207811,33877,31480,2785,1407,5852,13,112,357,487,204,24662,9229,1804,10706,56670,4899,63311,17,31,10525,61571,2,4,3,2,3,2,58,530
Clostridiaceae,1993,41,39193,65119,210697,34863,18141,19241,19987,65198,28,42861,679,19,49,95,1354,8,12094,22772,17309,13166,11401,3283,1444,1600,2968,98,91,31,55,478,2679,988,997,2227,347,2646,2759,68956,905,93,196,402,1753,14,515,2224,1585,2474,5410,2209,972,11900,10108,2170,7185,12,24,176,260,3,3,5,0,2,5,522,1038
Flavobacteriaceae,24,0,50,61,169,12,19,69,45,104,14,459,7104,0,17,32,25,2,37,138,86,11,42,273,37,658,12864,34,22,19,19,104,14,19,44,35,13,108,213,6098,60233,29544,73131,171011,11331,25,699,660,627,385,85295,80314,27,97,1077,20175,175,3,32,39920,7335,0,0,0,5,0,9,1197,1793
Rivulariaceae,10838,124,39609,28857,219533,26520,19435,24479,5878,16429,6,12500,2580,9,175,11979,3284,5,9460,51213,19569,3537,215,227,1269,2074,3111,213,231,255,131,785,522,10039,954,4795,10403,28659,6195,5882,21,14,349,137,3770,2,189,352,730,197,40,18,22,39,92,36,26,3,7,5,37,1,1,1,1,0,1,153,549
Enterobacteriaceae,28,0,130,41,898,232,731,6032,3941,30816,6,8660,7225,7,13947,85,21,7,49,119,146,48,264,92,983,251,1179,77,64,118,23,769,723,144,12,16,29,150,233,9356,11882,10090,3278,20423,8221,6,31342,6252,192,78,24806,11191,270,10666,50147,2825,7086,11,20,3279,9897,0,5,5,7,2,5,4498,7388
Peptostreptococcaceae,83,10,15043,52649,103389,31028,12134,6538,9225,29112,4,5360,26,2,5,6,2231,1,4885,2214,473,108,15,14,122,90,71,5,10,3,2,4,146,6,6,13,11,14,8,14,6,15,15,41,154,4,2,3,0,4,14,15,24,17,13,8,2,2,4,20,34,2,0,0,0,0,0,2,191
Erysipelotrichaceae,2367,3,2642,2663,2753,291,1103,371,392,1282,5,1544,1082,4,15,50,206,2,1431,4133,4576,2208,21376,3259,217,472,2625,20,15,10,11,444,533,498,1489,3836,5592,25753,1019,6362,4552,8097,106,62,846,9,38,187,373,73,26639,9312,363,8908,26371,5095,24650,5,16,6561,23341,0,2,0,0,0,3,12,181
Neisseriaceae,1,1,14,15,40,19,33,8,23,507,3,539,310,1,9,1,24,1,27,38,48,1,11,1660,1574,3164,7177,9,16,15,7,570,1737,37,27,3,37,525,20,2692,15480,17069,180,72,781,1,29,197,353,252,7539,1211,5,2194,6421,11153,33308,5,18,59261,66949,1,0,2,0,0,0,342,1967
Sphingobacteriaceae,1,0,4,9,44,2,19,21,42,46,0,25,113,0,4,1,2,0,9,24,37,2,8,8,7,163,3490,18,4,19,3,85,1,2,0,11,5,21,61,4333,4630,8828,1901,161960,9756,0,3843,299,1011,882,4269,1211,2,15,91,150,45,1,0,168,2484,0,1,1,0,0,0,470,370
Staphylococcaceae,17,2,33,30,173,9,42,27,15,30,0,57,38,2,51,258,5507,0,31,134,64,30,65,102,2,0,5,53,71,34,49,230,12,10,32,14,8,51,66,696,18,32,1475,138,2224,10,849,65613,19782,59441,41,39,34,39,95,31,70,8,1,31,142,1,4,6,0,1,2,848,23022
Propionibacteriaceae,62,0,305,125,2760,474,514,122,700,1085,0,1795,1631,0,341,1718,225,0,23,875,200,138,141,145,116,11,17,157,210,174,189,849,126,108,452,130,114,523,531,10432,36,22,1991,1052,59307,7,5616,23927,16304,13807,91,26,22,141,358,130,226,1,0,10,22,1,1,2,0,0,0,1165,3135
Planococcaceae,480,11,1233,3164,5111,901,11757,2646,1260,797,6,2757,528,12,92,180,298,3,4221,6077,6573,5939,10265,30877,494,241,407,42,72,110,24,2155,620,304,1942,2413,1194,13445,1771,11870,2207,633,272,438,1195,13,79,268,132,214,1854,1113,350,1262,1332,1802,3437,21,21,2074,2577,2,4,6,5,1,2,69,269
Moraxellaceae,20,1,48,89,289,52,124,63,198,762,11,45546,2818,2,112,109,16,2,46,150,896,14,90,267,550,4345,12942,596,546,222,2664,2479,172,50,286,25,19,455,140,1879,14531,9456,1434,532,6592,3,138,343,421,258,14322,8778,25,220,204,4923,169,5,9,5031,2158,0,1,0,4,0,2,146,455
Carnobacteriaceae,16,2,179,774,4179,870,1187,663,762,2466,0,5734,4728,1,3466,567,16,0,141,154,183,45,604,2441,4,4,10,28575,25564,8987,4281,3135,7,5,15,14,9,58,70,833,137,452,1259,162,195,1,3,91,12,184,15,12,7,15,43,8,91,2,0,47,84,2,1,0,1,0,0,55,242
Chromatiaceae,19,1,42,97,224,521,1943,1949,1247,1978,5,296,140,6,77,124,72,6,211,114,1097,328,303,248,99,66,93,42,42,24,37,57,220,113,182,145,125,395,942,17141,10990,2152,99,290,871,11,204,1192,931,564,5177,2618,2605,2586,2588,5252,4902,19,30,4275,5459,0,5,10,6,0,2,925,844
Bacteroidaceae,19,0,41,11,66,49,68,484,33,6331,1,3320,15,0,2,1,773,1,639,415,566,507,438,34,24,4,58,0,0,1,0,43,8,1,7,1,52,22,73,2299,398,12,9,14,34,3,23,91,120,21,6724,643,21,710,15629,2311,9762,2,5,1795,580,0,2,0,2,0,0,7,101
Porphyromonadaceae,40,1,0,4,7,1,7,27,12,101,0,49,5,0,1,2,2,0,1,0,65,49,164,121,28,21,177,1,0,0,0,30,12,8,42,17,25,214,232,36552,74,234,2,24,1057,0,4,21,43,128,5964,1977,16,45,784,55,128,0,0,55,344,0,4,3,0,0,0,72,367
Nostocaceae,833,13,2944,2129,16969,2442,1366,1879,430,1256,3,1273,163,6,44,969,274,2,782,4212,1555,429,18,25,98,138,219,16,14,19,22,68,45,677,67,314,760,2630,902,1873,11,4,35,44,192,2,15,16,50,16,10,7,14,4,12,10,13,0,5,12,23,0,2,0,1,0,0,29,40
Microbacteriaceae,13,0,130,516,803,116,109,132,310,156,0,158,132,0,14,69,23,1,125,114,323,39,110,117,19,7,158,14,31,36,28,983,29,12,72,98,14,58,254,9897,852,1525,4225,1566,2317,8,830,5640,6879,2198,130,75,15,17,73,42,777,1,1,242,731,2,1,2,0,0,1,484,593
Lachnospiraceae,46,2,1830,6042,5390,1508,2314,625,1051,3065,2,304,11,5,3,10,197,1,1915,770,195,91,124,28,63,25,81,7,5,2,2,3,86,76,76,65,22,69,135,1462,21,9,8,38,176,0,2,104,44,76,1357,416,140,918,1630,87,6071,4,4,17,13,0,0,0,0,0,0,17,144
Listeriaceae,3,0,9,32,171,22,38,19,68,108,0,2648,18504,1,3657,41,5,0,12,23,33,14,21,103,0,0,0,2047,1959,811,30,28,1,1,5,12,7,47,54,210,47,46,19,14,31,0,1,12,0,5,27,8,8,22,62,10,32,1,0,11,35,0,0,0,0,0,0,21,38
Sphingomonadaceae,2,1,23,41,64,22,31,38,12,40,0,23,28,3,13,20,13,0,22,46,41,13,21,14,20,5,20,23,19,33,16,50,15,6,4,4,12,49,81,538,38,24,155,159,236,9,349,3756,8573,5292,71,39,22,18,40,33,56,1,1,18,61,0,2,2,2,0,5,2314,5477
Comamonadaceae,13,0,54,39,217,40,43,29,27,33,1,27,32,2,9,37,29,1,19,79,127,19,30,22,35,115,5428,12,12,11,17,46,38,28,22,14,14,73,173,937,1364,270,1117,168,361,3,138,1200,1452,1066,5304,2411,24,52,113,99,126,1,5,258,450,0,1,2,2,1,0,1571,1941
Hyphomicrobiaceae,1,0,5,87,132,4,8,17,27,16,1,41,9,0,2,3,3,0,7,21,113,0,20,11,2,6,19,8,10,3,28,40,7,2,4,7,0,8,34,804,101,13,79,96,93,4,407,8770,7495,4030,126,56,19,34,99,120,36,2,0,61,36,0,1,0,0,0,1,1281,2181
Oxalobacteraceae,1,0,2,2,22,3,2,5,74,16,0,27,98,0,3,5,58,0,344,21,12,3,8,32,13,43,271,10,9,8,3,38,9,2,2,3,2,15,12,217,571,168,81,622,349,0,780,185,348,235,4616,1506,1,101,456,1761,750,0,7,4850,4779,0,0,2,0,1,1,1324,738
Corynebacteriaceae,14,3,52,28,180,7,68,49,38,120,0,298,18,0,82,1549,512,0,20,789,203,81,284,90,1,0,4,270,270,189,183,995,3,0,21,3,3,13,41,953,9,2,230,142,2774,0,212,3062,2672,5782,93,28,23,121,207,63,193,1,0,3,2,0,0,0,0,0,0,113,1475
Brucellaceae,2,0,49,463,596,11,16,23,129,13,0,23,8,0,2,4,0,0,15,152,1272,7,45,32,13,40,629,2,2,9,4,367,15,20,52,157,3,23,136,7132,84,121,204,73,138,0,14,387,482,162,2512,1423,6,163,3153,406,1319,1,1,9,63,0,0,0,0,0,0,21,56
Coxiellaceae,8,1,23,46,236,45,16,49,14,43,1,40,20,1,11,25,8,0,32,747,294,14,6,3,9,6,8,5,7,3,13,7,6,14,2,11,12,55,55,1764,28,12,70,85,13548,0,35,833,207,543,64,36,16,17,26,99,32,1,1,40,60,0,0,0,0,0,0,23,51
Rickettsiaceae,172,1,1248,624,5120,653,287,339,46,217,1,229,29,7,12,305,45,1,149,658,489,40,49,32,135,78,134,15,10,10,8,50,158,236,75,125,154,698,1176,1718,126,61,52,672,363,1,31,84,70,43,266,175,84,111,189,101,206,3,6,130,240,0,1,0,1,0,1,77,100
Bacillaceae,41,0,288,920,1340,359,889,183,287,937,2,218,148,5,38,38,70,1,496,188,163,98,175,298,27,18,95,95,131,35,43,37,32,27,29,48,23,156,109,701,121,86,53,87,171,6,83,333,283,299,743,282,56,167,940,71,1621,1,4,86,183,3,3,0,2,0,0,205,272
Phyllobacteriaceae,10,0,141,86,375,13,41,7,11,6,0,13,6,0,4,4,8,0,11,31,234,0,17,16,5,2,5,20,17,51,10,120,3,4,14,30,0,15,126,1927,35,9,42,37,192,2,183,3578,3177,2148,58,15,2,9,369,26,56,0,1,6,6,0,1,1,2,0,0,410,703
Lactobacillaceae,20,1,132,510,1064,92,938,140,54,43,1,146,31,2,16,70,37,1,272,231,231,263,355,762,13,1,5,57,61,46,51,99,30,25,59,281,136,301,302,6099,101,47,75,70,346,4,16,104,24,41,86,22,3,32,122,41,61,0,1,26,65,0,1,0,0,0,0,28,131
Acetobacteraceae,8,1,15,23,65,36,68,88,39,82,3,47,180,5,106,212,28,1,73,44,106,36,48,54,134,60,112,137,141,120,152,101,173,85,80,58,62,169,363,1154,133,44,167,361,571,6,903,1222,1531,1103,261,128,101,160,178,318,121,4,6,106,209,1,6,7,6,0,2,824,1148
Nocardioidaceae,5,0,14,41,122,27,48,16,27,51,0,65,43,1,4,44,18,1,17,27,18,10,9,12,1,6,4,17,23,37,17,64,3,2,14,9,5,33,57,412,15,12,72,87,1491,2,228,2076,2710,1870,13,9,7,17,9,10,10,0,1,6,20,1,0,0,3,1,1,1350,1943
Streptococcaceae,5,2,18,67,164,23,25,16,11,26,0,48,17,0,4,51,12,0,17,21,27,17,21,16,13,0,1,22,13,20,30,70,6,3,9,11,4,30,43,4332,60,21,86,46,890,1,61,998,384,2209,57,26,5,29,89,21,45,3,3,21,68,0,1,0,0,0,0,290,2437
Oceanospirillaceae,2,1,22,26,37,7,38,46,14,139,0,106,196,6,168,197,10,0,17,32,60,17,27,25,21,66,87,158,164,183,125,81,32,19,12,17,14,57,132,425,315,91,135,614,583,4,1948,333,50,52,1065,466,44,289,131,1615,132,1,4,1302,313,2,2,8,9,0,4,452,60
Rhizobiaceae,13,1,25,28,110,4,11,31,41,11,0,41,7,1,3,6,1,0,6,116,272,49,82,22,9,4,9,9,12,20,12,122,7,2,10,14,8,24,35,674,21,16,72,55,1455,2,307,2002,2321,2594,63,16,8,33,79,40,40,0,0,8,38,0,0,0,1,0,0,284,459
Paenibacillaceae,77,2,301,296,454,52,392,44,38,79,0,70,31,0,6,8,28,1,128,104,178,161,178,164,125,12,32,25,24,19,38,43,78,13,49,32,10,83,77,362,63,39,26,56,358,2,118,1500,836,686,74,13,4,22,84,23,175,1,0,31,69,0,1,0,1,0,0,1369,2351
Xanthobacteraceae,0,0,1,28,24,0,4,3,4,6,0,24,8,0,8,9,4,1,6,5,20,2,4,6,4,2,5,7,2,6,9,13,2,4,3,1,2,5,41,239,23,8,51,77,42,2,195,3914,2957,1955,27,17,9,10,21,21,9,1,1,11,21,0,1,2,1,0,1,350,765
Flexibacteraceae,4,0,21,32,60,20,21,27,11,46,0,18,13,1,3,8,6,0,12,19,85,10,15,6,9,6,9,8,3,5,0,2,11,7,14,18,15,84,135,600,111,99,177,290,410,0,69,1352,1730,1141,112,55,26,40,46,52,99,0,5,41,112,1,0,0,0,0,0,1865,1624
Chthoniobacteraceae,0,0,5,4,0,10,3,0,2,0,0,0,0,0,0,1,4,0,19,0,7,4,11,3,0,1,0,17,20,10,59,22,0,0,0,0,0,0,6,228,0,0,24,9,0,0,219,3126,1902,945,3,0,1,0,2,2,4,0,1,0,10,0,0,0,0,0,0,1630,2098
Micrococcaceae,4,0,22,75,474,7,14,20,126,19,0,4,15,0,5,11,2,0,3,21,44,4,39,27,9,2,3,60,103,31,50,341,11,8,20,10,5,35,48,1589,73,376,1236,2032,817,0,23,259,371,898,6,2,1,2,11,7,57,0,0,15,344,0,0,0,0,0,0,188,180
Alteromonadaceae,4,1,5,16,49,13,28,48,22,70,1,55,173,5,238,266,14,0,31,28,101,14,35,29,59,83,96,164,159,96,136,98,49,34,30,28,33,108,261,747,132,51,79,354,294,3,261,126,46,28,1288,494,46,335,218,1492,126,1,5,446,185,1,3,2,2,1,1,191,41
Sinobacteraceae,11,3,200,751,1320,675,186,136,126,420,1,142,80,3,34,54,65,0,130,60,94,14,27,39,42,39,53,34,42,21,33,20,58,15,17,25,24,104,184,637,73,45,24,148,284,7,100,479,480,359,91,62,39,64,77,79,92,2,5,91,142,2,4,0,1,0,0,353,510
Chitinophagaceae,0,0,1,1,3,1,91,0,2,3,0,6,2,0,1,0,1,0,2,5,3,1,0,4,1,0,6,3,0,0,13,0,0,0,2,0,0,5,9,26,19,14,12,154,19,0,197,1631,1764,1625,27,8,1,2,7,2,5,0,1,8,7,1,1,0,0,0,0,2039,1359
Bradyrhizobiaceae,1,0,4,31,55,3,2,1,7,5,0,13,1,0,0,0,11,0,7,2,9,2,5,2,4,1,0,9,4,5,27,34,2,0,0,0,1,1,30,337,13,4,59,88,155,1,197,1856,1906,1691,13,9,6,5,2,4,8,0,1,5,6,0,0,1,0,0,0,1054,1078
Methylobacteriaceae,3,0,275,178,533,41,79,18,13,14,0,6,7,0,3,5,3,0,18,230,105,6,72,28,10,5,2,15,5,21,17,133,11,8,29,6,7,26,24,1261,8,12,106,152,123,1,438,784,1166,818,30,10,2,12,17,7,29,0,0,6,6,0,0,0,1,0,0,326,913
Pseudonocardiaceae,8,0,9,55,110,33,63,10,11,28,1,5,5,0,0,5,9,0,4,12,2,1,32,51,0,1,0,9,10,5,40,15,0,1,0,4,0,2,10,67,3,2,21,24,98,0,145,1722,1812,1136,17,12,2,20,27,5,13,0,0,1,7,1,2,1,0,0,0,815,1576
Halomonadaceae,7,0,18,23,77,16,34,60,23,98,4,125,120,3,80,130,15,0,40,30,136,19,29,28,56,51,104,83,72,70,112,46,66,22,46,34,47,134,346,951,239,73,52,325,361,2,344,141,34,22,372,202,70,128,159,559,134,1,9,848,294,0,4,6,2,1,5,275,54
Caulobacteraceae,8,0,6,8,40,8,9,11,4,7,0,9,3,0,4,2,4,1,9,38,10,14,3,4,4,0,126,7,3,21,9,52,2,3,5,4,4,15,19,118,14,3,21,25,85,2,114,1175,2416,1851,274,55,2,7,18,4,10,0,0,4,19,0,1,1,0,0,0,463,767
Veillonellaceae,5,0,62,228,536,175,70,41,38,160,0,32,11,0,1,10,17,1,32,19,28,4,18,13,2,2,10,17,12,7,8,19,2,1,0,8,7,23,16,33,5,9,4,39,70,0,61,235,496,371,737,19,4,18,32,6,28,0,1,7,35,0,1,1,0,1,1,1055,2615
Aerococcaceae,0,0,6,7,41,14,10,23,6,12,1,19,11,0,5,6,7,1,10,32,28,16,24,20,6,1,1,16,32,21,18,95,1,2,8,11,1,32,30,212,19,20,10,21,99,0,19,305,109,392,75,16,7,78,252,94,4623,0,0,18,134,0,1,0,0,0,0,11,221
Heliobacteriaceae,106,2,307,259,2130,317,199,309,69,195,0,194,55,5,21,184,42,0,140,536,285,56,12,6,27,43,41,11,13,5,8,8,8,117,15,40,135,494,263,127,5,6,11,16,84,3,10,34,20,24,36,20,12,8,8,7,10,2,1,5,24,0,0,1,0,0,0,40,27
Thiotrichaceae,7,1,23,47,90,65,95,333,102,745,1,61,26,3,11,14,62,0,395,20,112,25,140,83,56,45,110,9,2,3,0,13,68,33,41,44,38,159,319,1308,104,50,59,233,170,2,16,56,32,22,351,92,35,95,214,200,120,4,5,311,192,0,1,0,0,0,1,17,28
Saprospiraceae,0,0,1,1,1,0,2,0,1,4,0,6,181,1,1,3,2,2,6,7,8,1,1,3,4,3,26,5,5,0,3,0,2,2,2,2,0,19,50,142,684,706,1160,3159,149,0,21,12,43,18,20,11,2,12,4,4,6,0,3,17,82,0,0,0,0,0,0,147,17
Mycobacteriaceae,0,0,0,31,2,0,6,5,6,2,0,4,0,0,0,10,2,0,4,6,10,0,1,4,2,2,3,3,11,6,31,52,2,1,1,1,0,4,1,218,2,0,98,147,50,2,267,1791,2531,759,4,11,0,3,12,2,15,0,0,0,1,0,0,0,0,0,0,272,244
Nocardiaceae,0,1,22,228,274,18,16,15,18,34,0,24,7,1,3,13,2,1,23,45,65,2,9,20,8,4,8,91,114,191,82,72,9,8,22,15,9,16,29,2130,30,14,148,146,284,1,44,435,541,206,47,24,4,43,38,12,30,1,1,16,13,0,0,0,1,0,0,309,393
Rhodospirillaceae,3,0,2,11,22,5,2,13,7,26,0,17,8,0,2,2,3,0,13,14,19,7,9,14,15,7,12,3,4,2,6,8,7,3,2,6,3,15,25,155,24,12,17,83,66,2,46,1504,1734,1195,33,28,2,12,23,15,21,0,2,14,28,1,0,1,0,0,1,601,421
Legionellaceae,13,1,14,38,100,45,59,79,43,78,1,56,13,3,17,20,6,1,22,32,58,19,19,16,12,18,20,11,10,2,4,12,12,7,13,7,13,65,40,721,265,80,54,158,323,1,24,564,1229,284,284,132,76,117,87,254,156,1,1,171,225,0,1,1,2,0,0,28,59
Bartonellaceae,0,1,12,127,123,4,5,15,37,7,0,14,3,0,1,2,0,0,9,92,353,5,15,14,4,10,120,2,0,1,1,126,6,5,7,22,2,5,87,1019,40,39,27,10,93,2,20,331,313,202,625,320,7,53,1066,144,371,0,3,6,12,0,0,0,0,0,0,19,39
Peptococcaceae,168,1,201,718,656,138,186,123,63,257,1,97,24,5,6,14,16,1,101,304,110,48,58,21,20,6,16,14,9,3,8,9,12,19,6,7,6,26,46,221,21,11,11,44,84,1,26,126,125,141,287,68,10,34,67,32,208,1,2,22,45,0,1,1,2,0,0,553,315
Fusobacteriaceae,1,0,9,3,0,0,5,2,0,16,0,12,1,0,1,31,3,0,4,1,8,1,5,3,12,93,975,3,0,0,0,1,7,1,2,0,0,5,14,35,2,2,2,6,7,2,2,1,1,22,2731,443,6,280,353,18,29,1,2,7,7,0,0,0,0,0,0,0,345
Leuconostocaceae,0,0,9,90,29,6,44,5,12,3,0,24,8,0,0,23,3,0,8,22,52,3,43,14,3,1,6,5,8,7,13,26,3,5,6,13,1,4,17,177,13,5,56,94,565,1,137,1228,819,483,49,19,3,0,45,9,16,0,0,7,9,0,0,0,0,0,0,391,860
Entomoplasmataceae,0,0,10,6,15,1,0,2,3,30,0,71,6,0,1,0,3,0,10,113,63,38,185,260,3,1,3,1,0,0,2,75,6,4,9,14,19,71,21,95,4,9,2,7,542,1,0,18,4,0,148,65,3,26,62,38,1307,0,0,417,1460,0,2,0,0,0,0,0,5
Phormidiaceae,51,0,240,190,1343,183,124,154,39,112,1,80,18,0,4,82,24,0,99,384,149,26,2,6,9,8,19,3,2,3,4,3,2,57,9,26,65,266,59,109,8,0,2,36,48,1,2,32,62,12,5,1,2,2,3,5,4,1,0,7,9,1,0,0,0,0,0,889,83
Actinomycetaceae,5,1,31,38,162,35,20,23,10,25,0,24,11,0,10,15,9,0,16,47,38,10,2,7,4,4,5,11,19,0,10,41,3,1,4,6,9,37,39,138,15,6,13,21,65,1,14,213,621,106,6,14,1,14,21,11,12,0,0,24,44,0,0,1,0,0,1,211,2699
