Order,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3
Xanthomonadales,4700,125,3115,2859,6859,11168,33511,52462,22349,55596,41,5765,1180,161,461,1013,9074,29,55523,6552,161027,18362,43501,20754,80062,20534,44756,387,339,333,344,9692,91105,44712,68436,48743,55516,188917,76177,1206663,60468,24151,11354,190141,224605,102,881,5580,10046,4145,169963,85248,74071,106004,133408,114040,166481,77,209,86620,141627,9,32,49,20,5,20,1487,14286
Pseudomonadales,111,4,466,395,3027,295,291,353,268,1973,28,48273,72978,37,73803,63436,178,19,134,582,1168,69,243,498,1019,5896,14195,66147,60006,57504,91566,37984,612,101,402,162,115,707,555,4170,16417,10607,22103,90828,134420,30,175440,55067,2590,758,36228,18998,223,6862,1347,43839,573,13,21,13319,10505,11,39,14,27,3,40,135325,5654
Lactobacillales,319,28,7768,19017,87762,20580,33001,7310,18850,36719,21,55596,22807,23,7944,1226,1082,15,10496,25784,28820,14053,20518,27711,338,235,465,29784,26785,9379,4703,6202,1413,1704,5292,14354,4096,33956,21937,220563,34431,32253,4435,1923,9012,21,378,3136,1855,3564,25208,9426,1859,10973,57723,5137,68787,27,38,10734,62361,4,11,3,3,3,2,854,4459
Clostridiales,2745,61,59189,130942,332983,70937,36478,28014,31641,102034,40,50592,909,43,120,388,4079,15,20720,29844,19266,13945,12065,3523,1884,1897,3490,188,164,66,110,538,3301,1522,1231,2587,644,3611,3608,73997,1034,186,280,708,2793,27,721,3061,2466,3389,11877,3825,1677,13490,12625,2454,15770,28,44,319,530,6,8,8,2,4,6,2375,4575
Flavobacteriales,24,0,50,61,169,12,19,69,45,104,14,459,7104,0,17,32,25,2,37,138,86,11,42,273,37,658,12864,34,22,19,19,104,14,19,44,35,13,108,213,6098,60233,29544,73131,171011,11331,25,699,660,627,385,85295,80314,27,97,1077,20175,175,3,32,39920,7335,0,0,0,5,0,9,1197,1793
Stigonematales,10838,124,39609,28857,219533,26520,19435,24479,5878,16429,6,12500,2580,9,175,11979,3284,5,9460,51213,19569,3537,215,227,1269,2074,3111,213,231,255,131,785,522,10039,954,4795,10403,28659,6195,5882,21,14,349,137,3770,2,189,352,730,197,40,18,22,39,92,36,26,3,7,5,37,1,1,1,1,0,1,153,549
Bacillales,705,18,2058,5041,8645,1575,16666,3316,1750,2136,9,5955,19435,21,3899,542,5998,6,5527,6954,7598,7297,11950,32855,663,285,582,2342,2320,1032,213,2533,795,394,2223,2739,1349,14425,2218,14422,2623,936,1881,792,4106,35,1155,68077,21203,60980,2829,1490,463,1563,2643,1984,5492,33,28,2294,3173,6,13,13,8,2,4,2645,26174
Enterobacteriales,28,0,130,41,898,232,731,6032,3941,30816,6,8660,7225,7,13947,85,21,7,49,119,146,48,264,92,983,251,1179,77,64,118,23,769,723,144,12,16,29,150,233,9356,11882,10090,3278,20423,8221,6,31342,6252,192,78,24806,11191,270,10666,50147,2825,7086,11,20,3279,9897,0,5,5,7,2,5,4498,7388
Actinomycetales,141,7,827,1447,5714,859,1030,464,1322,1744,2,2570,1958,5,495,3892,903,5,306,2146,1082,315,697,522,182,48,235,706,881,764,739,3628,212,161,671,311,183,815,1219,28267,1222,2047,8399,5710,72437,29,7970,43842,39956,30778,812,413,148,761,1386,413,1543,4,11,398,1253,7,8,10,6,2,6,7500,16171
Erysipelotrichales,2367,3,2642,2663,2753,291,1103,371,392,1282,5,1544,1082,4,15,50,206,2,1431,4133,4576,2208,21376,3259,217,472,2625,20,15,10,12,444,533,498,1489,3836,5592,25753,1019,6362,4552,8097,106,62,846,9,38,187,373,76,26639,9312,363,8908,26371,5095,24650,5,16,6561,23341,0,2,0,0,0,3,12,181
Neisseriales,1,1,14,15,40,19,33,8,23,507,3,539,310,1,9,1,24,1,27,38,48,1,11,1660,1574,3164,7177,9,16,15,7,570,1737,37,27,3,37,525,20,2692,15480,17069,180,72,781,1,29,197,353,252,7539,1211,5,2194,6421,11153,33308,5,18,59261,66949,1,0,2,0,0,0,342,1967
Sphingobacteriales,5,0,32,67,152,37,151,57,66,123,0,74,316,3,11,16,13,3,41,77,158,22,29,24,29,177,3544,39,16,27,19,93,21,15,22,32,24,154,293,5295,5502,9705,3306,166329,10430,0,4164,3639,4696,3761,4473,1320,42,79,164,227,178,2,12,267,2719,2,2,2,1,1,0,4798,3506
Rhizobiales,32,2,526,1131,2086,88,188,134,311,84,2,188,60,1,27,41,38,1,100,687,2739,82,274,177,58,73,879,86,62,129,120,1066,59,51,156,278,25,124,598,16344,387,249,734,710,2504,15,2096,24697,22704,15204,3836,2064,66,363,5673,870,2111,6,8,125,204,0,3,5,5,0,3,4359,7563
Bacteroidales,67,2,45,22,117,53,78,526,47,6542,1,3432,24,0,4,3,785,1,644,416,635,564,618,175,65,27,287,5,0,5,0,87,27,10,51,20,79,249,354,40204,492,260,20,53,1384,4,48,147,208,183,13345,2782,39,781,16804,2416,10028,2,6,1887,962,0,6,3,3,0,0,110,1039
Chromatiales,36,3,57,120,363,553,2003,2018,1269,2019,6,382,242,7,143,274,84,6,234,157,1219,342,324,250,134,84,140,132,126,80,124,113,273,142,211,184,156,508,1158,18079,11134,2194,144,569,1448,15,418,1549,1508,972,5298,2693,2690,2700,2656,5463,5034,20,36,4383,5607,0,10,14,11,0,4,1234,947
Burkholderiales,19,0,64,49,277,53,57,64,114,103,2,82,149,6,17,59,97,1,391,132,175,29,61,88,72,213,6014,32,28,25,26,104,79,33,31,32,28,145,247,1458,2237,583,1220,836,816,6,972,1954,2475,1513,11140,4507,41,198,731,2123,1149,3,23,5854,6352,1,1,4,3,2,3,3085,2934
Nostocales,833,13,2944,2129,16969,2442,1366,1879,430,1256,3,1273,163,6,44,969,274,2,782,4212,1555,429,18,25,98,138,219,16,14,19,22,68,45,677,67,314,760,2630,902,1873,11,4,35,44,192,2,15,16,50,16,10,7,14,4,12,10,13,0,5,12,23,0,2,0,1,0,0,29,40
Sphingomonadales,3,1,24,51,78,26,40,41,18,53,0,34,32,3,20,23,14,0,26,51,44,16,22,17,20,6,23,31,30,35,22,51,16,7,5,4,12,57,96,583,48,31,158,178,250,9,367,4196,9455,5752,84,47,23,23,58,43,61,1,1,20,74,0,2,3,2,0,5,2424,5614
Legionellales,39,3,71,115,572,129,130,237,83,194,4,124,41,12,36,83,25,1,103,862,507,65,52,38,70,44,62,16,19,7,18,27,69,49,51,51,70,291,239,3402,384,114,137,294,13933,3,73,1416,1447,834,464,224,137,224,198,488,271,4,5,329,418,0,1,1,3,1,0,51,123
Oceanospirillales,14,2,73,127,342,85,130,157,78,365,5,347,361,11,276,376,34,2,109,119,276,68,72,70,91,129,218,275,264,280,258,136,114,53,78,69,76,261,562,1845,667,208,218,1128,1102,8,2437,531,99,97,1594,770,136,479,351,2307,405,5,18,2314,717,2,6,15,11,1,9,794,148
Rhodospirillales,12,1,20,39,89,44,74,112,50,127,3,67,190,5,110,215,32,1,106,60,128,46,66,75,154,72,126,143,146,123,159,113,186,90,86,64,66,193,398,1377,176,60,186,467,655,8,958,2820,3332,2356,304,159,104,182,210,348,149,4,9,134,244,3,6,8,7,0,3,1652,1704
Rickettsiales,174,1,1252,625,5134,656,291,342,46,220,1,234,44,7,16,311,49,2,154,659,497,40,51,32,140,80,142,20,17,15,17,51,162,240,79,126,156,713,1221,1849,181,112,134,892,405,2,41,110,80,58,278,179,84,114,193,105,218,3,7,133,252,0,2,0,1,0,2,93,112
Alteromonadales,22,2,42,139,227,70,72,146,95,443,2,179,260,5,301,331,28,1,100,71,160,28,67,58,79,97,142,194,181,125,172,120,76,51,42,43,54,199,416,1166,285,115,129,653,460,5,482,361,89,106,1568,628,70,408,387,1628,294,6,9,681,404,2,4,4,2,1,5,343,185
Thiotrichales,11,1,42,78,180,101,139,393,120,860,2,113,65,5,28,47,71,0,423,68,214,53,175,129,98,66,138,31,30,10,17,20,113,56,60,68,61,289,450,2144,215,98,71,278,254,3,85,146,85,98,452,136,78,193,347,275,259,8,8,378,350,0,2,2,2,0,1,74,59
Chthoniobacterales,0,0,5,4,0,10,3,0,2,0,0,0,0,0,0,1,4,0,19,0,7,4,11,3,0,1,0,17,20,10,59,22,0,0,0,0,0,0,6,228,0,0,24,9,0,0,219,3126,1902,945,3,0,1,0,2,2,4,0,1,0,10,0,0,0,0,0,0,1630,2098
Caulobacterales,8,0,6,8,40,8,9,11,4,7,0,9,3,0,4,2,4,1,9,38,10,14,3,4,4,0,126,7,3,21,9,52,2,3,5,4,4,15,19,118,14,3,21,25,85,2,114,1175,2416,1851,274,55,2,7,18,4,10,0,0,4,19,0,1,1,0,0,0,463,767
Solirubrobacterales,0,0,4,39,42,6,2,0,7,0,0,0,1,0,0,0,2,0,10,8,7,3,0,0,0,0,0,5,2,8,19,7,0,0,0,1,0,0,6,58,0,0,60,62,170,0,169,1636,1968,1212,2,2,1,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1299,1066
Chroococcales,73,0,307,285,1873,275,153,201,49,162,2,106,27,0,6,110,32,0,111,505,182,33,5,11,15,15,26,8,2,3,9,6,4,74,11,32,77,345,88,177,9,4,3,52,68,1,15,45,118,65,13,2,3,3,6,6,7,1,3,8,13,1,0,0,0,0,0,918,105
Fusobacteriales,1,0,9,4,0,0,8,2,0,16,0,12,1,0,2,33,3,0,6,2,22,1,5,3,12,93,976,5,0,0,1,1,7,2,2,2,0,6,15,132,2,2,2,6,10,2,2,2,1,22,2748,452,6,280,379,21,29,1,2,7,7,0,0,0,0,0,0,9,976
Entomoplasmatales,0,0,10,6,15,1,0,2,3,30,0,71,6,0,1,0,3,0,10,113,63,38,185,260,3,1,3,1,0,0,2,75,6,4,9,14,19,71,21,95,4,9,2,7,542,1,0,18,4,0,148,65,3,26,62,38,1307,0,0,417,1460,0,2,0,0,0,0,0,5
Aeromonadales,0,0,0,3,19,9,12,81,108,469,0,148,101,2,385,12,3,2,1,3,2,0,5,1,6,1,8,4,1,2,1,8,8,0,1,0,0,3,7,133,148,110,84,541,140,0,799,120,4,0,213,88,4,95,409,208,48,3,0,6,15,0,0,0,0,1,0,88,45
Rhodobacterales,8,0,58,49,234,31,55,47,21,27,0,24,18,0,5,38,11,0,15,34,32,9,5,6,10,9,15,13,11,13,13,22,9,4,1,16,9,22,27,118,38,17,24,126,89,2,75,691,835,404,192,40,8,31,166,63,21,0,3,47,37,1,0,1,0,0,1,261,358
Mycoplasmatales,5,0,38,56,74,31,26,18,16,18,5,47,17,0,5,16,4,0,26,46,49,17,26,44,8,4,22,9,5,9,5,37,8,17,3,27,23,144,72,128,70,41,120,222,202,0,132,720,290,432,78,42,4,18,25,18,175,0,4,82,231,0,0,0,0,0,0,81,82
Myxococcales,0,0,0,9,16,4,2,4,1,0,0,2,2,0,1,4,1,0,2,6,4,1,2,2,1,2,4,4,2,4,19,1,1,1,0,0,1,5,7,100,2,5,9,5,2,1,40,655,901,761,3,3,1,1,3,0,5,0,1,10,16,0,0,2,0,0,1,728,491
Gemmatales,0,0,0,6,12,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,7,0,6,11,0,0,2,0,0,1,0,0,0,0,0,0,28,0,0,75,1026,825,465,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,332
Thermoanaerobacterales,2,0,3,26,51,12,18,9,18,25,0,11,4,0,4,3,8,0,9,12,10,4,5,6,8,8,7,10,2,4,25,9,9,4,4,4,5,13,23,84,10,7,8,26,45,0,58,199,375,221,17,9,3,2,9,9,11,0,1,7,15,0,1,1,1,0,0,953,723
Desulfuromonadales,26,0,65,61,451,62,44,73,13,41,0,49,18,4,8,36,11,2,31,116,65,11,2,8,5,0,6,5,6,4,10,3,2,16,3,6,31,86,101,93,10,6,20,19,43,0,61,420,246,105,11,3,6,8,8,6,8,1,1,13,22,1,0,0,0,0,0,275,298
Thermogemmatisporales,33,1,91,127,811,120,73,99,18,85,3,87,28,2,7,78,6,1,46,236,104,19,2,2,6,13,14,9,4,1,8,3,2,42,3,16,38,142,67,55,14,7,4,45,73,0,10,41,88,16,3,6,6,3,10,4,4,1,0,9,15,0,0,1,0,0,0,87,33
Campylobacterales,3,0,54,138,302,88,69,41,31,105,0,85,6,0,5,3,8,1,44,64,32,7,20,18,14,2,16,6,6,4,0,1,9,8,8,8,6,23,32,143,30,10,23,84,106,1,41,134,94,62,259,38,11,27,43,22,67,0,1,20,16,0,0,1,0,0,0,67,224
Desulfovibrionales,1,0,11,26,49,12,10,8,4,24,1,6,12,1,11,13,3,0,6,9,9,2,5,3,21,16,200,9,6,12,9,4,7,1,5,5,6,10,15,140,10,7,5,33,43,0,27,355,295,136,141,76,7,98,334,21,29,2,0,11,13,0,0,0,0,0,0,282,166
Thermicanales,4,1,59,144,265,73,104,34,39,128,0,99,21,0,8,5,21,0,46,80,40,20,24,25,6,4,15,8,2,1,2,9,4,2,4,10,7,58,40,219,53,26,7,46,43,0,18,133,152,66,32,19,8,32,90,17,233,0,3,32,55,0,0,0,0,0,1,19,25
Methylococcales,5,0,1,2,4,13,24,16,19,38,0,4,3,1,3,11,7,1,21,8,109,25,22,19,38,34,31,2,2,5,2,4,40,16,23,26,22,81,190,509,58,22,8,12,33,0,14,9,16,6,142,60,49,48,100,91,140,2,4,100,162,0,0,0,0,0,0,26,25
Rhodocyclales,0,0,2,1,13,4,1,4,3,7,2,11,1,0,1,3,1,0,2,1,5,1,0,3,3,6,16,1,0,0,0,6,3,2,2,2,2,6,16,51,29,23,7,12,27,0,16,391,424,182,15,10,5,8,12,26,39,0,2,97,114,0,0,0,2,0,0,540,286
Natranaerobiales,16,0,171,162,69,31,65,28,12,29,0,1,1,1,0,0,17,0,49,117,16,1,17,4,60,33,55,0,0,0,0,1,148,183,45,71,27,102,1,234,0,1,2,4,100,0,0,9,9,6,11,5,2,21,42,0,111,0,0,1,0,1,0,0,0,0,0,2,5
Exiguobacterales,20,0,59,139,204,12,124,30,6,13,0,37,8,0,5,7,5,1,59,69,79,158,195,327,1,1,6,7,3,2,1,54,4,9,27,35,14,106,14,34,38,11,2,7,18,0,1,1,2,11,5,2,1,6,7,4,5,0,0,3,4,0,0,0,0,0,0,2,2
Bifidobacteriales,0,0,6,6,10,5,2,1,0,1,0,12,6,0,0,12,1,0,1,17,11,3,5,5,2,0,1,5,7,1,12,1,0,0,1,2,1,12,9,47,18,22,16,39,104,0,70,399,355,162,22,7,1,3,81,4,13,0,0,15,18,0,0,1,0,0,0,124,255
