Phylum,89,88,87,86,85,84,83,82,81,80,79,78,77,76,75,74,73,71,70,69,68,67,66,65,64,63,62,61,60,59,58,57,56,55,54,53,52,51,50,49,48,47,46,45,44,43,42,41,40,39,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3
Proteobacteria,5466,152,9080,9962,26758,14910,39013,64205,29572,96347,127,66605,84296,321,90791,67578,10011,93,58327,11575,170038,19632,45591,24400,85227,31316,76729,68268,61995,59317,93614,51333,96052,46200,70014,50293,56910,195231,85479,1283093,124033,67387,41142,312775,394354,253,221523,111955,62394,37615,271207,131312,78886,133251,206617,191403,220907,204,476,183591,248588,40,134,154,130,20,123,162135,53337
Firmicutes,6425,127,75489,167137,440902,96130,92606,40292,54442,147835,76,114558,44634,100,12069,2310,11912,41,41750,68952,61240,38713,67250,68996,4560,3552,8001,32572,29517,10586,5115,9897,7153,4890,10669,24177,12056,79398,29359,319549,43153,41820,6873,3749,17894,104,2651,77909,28383,70024,68984,24821,4564,36530,104711,15043,128818,102,141,20161,90131,20,40,28,15,10,19,7719,37748
Bacteroidetes,98,2,131,156,467,102,250,656,162,6804,16,4001,7738,3,35,54,828,6,732,641,891,601,696,484,134,864,16760,81,41,52,39,286,66,48,119,87,117,526,909,52138,67937,40968,79256,344703,23948,29,5001,4524,5561,4361,104610,84700,112,967,18126,22878,10431,10,53,42334,11188,2,10,5,11,1,9,6161,6377
Cyanobacteria,12335,141,44965,32918,250427,30989,22038,28148,6701,18925,16,14769,2923,22,259,13853,3811,10,10997,59108,22489,4275,258,278,1456,2364,3555,266,269,298,176,907,605,11289,1093,5400,11795,33521,8464,8832,64,31,423,331,4385,8,238,522,1021,328,94,43,53,75,132,75,62,5,16,41,119,3,3,2,2,0,3,1242,751
Actinobacteria,145,7,849,1516,5884,889,1052,481,1341,1765,3,2613,1985,5,498,3928,919,5,326,2208,1118,328,704,533,189,49,241,726,898,778,797,3642,216,168,673,321,195,850,1270,28554,1248,2076,8517,5851,73141,29,8282,46452,42873,32437,852,426,157,769,1480,428,1569,4,11,418,1280,7,8,12,6,3,6,9459,18352
Verrucomicrobia,1,0,12,15,43,14,15,13,12,18,1,20,8,1,3,6,8,1,26,10,31,12,28,16,4,5,3,36,34,10,77,41,9,3,7,6,9,25,33,728,23,14,37,52,86,2,300,4368,2904,1857,71,21,7,26,22,28,31,3,2,21,83,1,0,0,0,0,0,2675,2582
Tenericutes,7,0,63,74,130,35,28,24,26,65,5,144,29,0,8,19,9,1,46,185,145,66,251,326,15,6,47,13,8,11,8,121,34,31,32,89,100,401,169,383,99,87,162,375,954,2,139,791,320,494,699,352,18,66,245,97,1811,1,5,572,2136,0,2,0,0,0,0,98,115
Planctomycetes,1,0,5,13,38,7,9,7,5,6,0,1,3,2,1,5,3,0,7,9,13,0,2,5,2,0,1,10,0,6,38,0,0,3,4,4,6,11,9,101,2,0,9,30,7,1,175,1800,1382,762,4,5,3,7,3,7,7,0,0,2,11,0,0,0,0,0,0,1558,771
Fusobacteria,1,0,9,4,0,0,8,2,0,16,0,12,1,0,2,33,3,0,6,2,22,1,5,3,12,93,976,5,0,0,1,1,7,2,2,2,0,6,15,132,2,2,2,6,10,2,2,2,1,22,2748,452,6,280,379,21,29,1,2,7,7,0,0,0,0,0,0,9,976
Chloroflexi,33,1,92,128,817,124,74,100,19,92,3,91,30,2,8,79,6,1,48,238,104,19,3,2,7,13,16,13,4,1,10,16,2,42,3,18,38,145,73,73,16,12,14,56,80,0,88,496,375,176,13,9,8,5,20,5,23,1,0,9,20,0,0,1,0,0,0,582,276
Acidobacteria,1,0,1,1,20,2,3,7,1,4,0,1,1,0,0,4,3,0,5,4,9,2,4,0,1,3,1,0,0,2,9,1,0,0,1,0,5,13,6,29,4,2,0,7,2,0,63,361,613,307,3,2,1,7,4,8,0,0,0,3,3,0,1,0,0,0,0,568,420
Nitrospirae,5,0,15,15,85,17,19,15,5,11,0,14,9,2,11,27,4,0,8,26,24,9,5,4,8,6,6,2,6,4,19,5,8,17,6,5,17,36,68,131,13,5,4,29,53,0,36,56,141,71,19,11,10,15,24,9,14,0,1,9,23,0,1,1,0,0,0,371,186
Chlamydiae,0,0,0,12,0,4,0,1,2,2,0,0,0,0,2,0,0,0,1,1,4,1,6,4,3,0,0,0,3,2,11,3,2,0,1,0,0,5,7,46,4,6,75,17,45,0,42,653,498,186,3,2,3,3,3,2,6,0,0,1,7,0,0,0,0,0,0,36,16
Thermi,0,0,7,11,38,0,303,3,0,2,0,1,1,0,1,0,0,0,0,22,0,1,1,0,3,1,2,0,1,5,0,0,1,0,0,0,0,3,4,14,2,4,6,12,76,0,10,149,193,46,4,1,1,2,6,1,1,0,0,4,2,0,0,1,0,0,1,127,84
Caldithrix,2,0,8,32,64,25,9,6,4,23,0,7,3,1,1,1,2,0,9,4,3,0,3,0,2,2,1,0,1,0,3,1,1,1,0,0,0,0,2,11,4,2,2,13,14,0,14,23,75,52,3,4,1,2,0,19,1,0,0,1,4,0,0,0,0,0,1,347,220
Thermotogae,0,0,6,16,38,9,14,11,10,25,0,15,6,1,5,6,1,1,9,5,12,9,3,3,4,4,1,8,3,2,7,1,5,4,4,5,1,17,24,128,12,7,8,22,52,0,18,42,32,16,23,11,8,14,31,22,62,0,1,16,33,0,0,0,0,0,0,62,33
Gemmatimonadetes,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,32,0,0,0,0,0,0,2,60,145,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,188
DNA,3,0,5,8,46,2,2,8,2,3,0,3,6,0,0,0,0,0,0,1,1,0,2,1,1,2,2,3,6,1,6,0,0,1,0,0,0,3,15,15,3,0,8,9,12,0,17,1,4,1,67,50,2,104,2,53,2,0,0,0,3,0,0,0,0,0,0,24,2
Synergistetes,0,1,8,16,36,6,3,8,3,10,0,4,0,0,0,1,2,0,1,10,2,1,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,2,2,17,2,1,1,9,7,0,2,89,3,7,2,1,2,2,2,2,2,0,0,1,1,0,0,0,1,0,0,90,62
Armatimonadetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,57,61,68,101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40,94
Spirochaetes,0,0,3,7,21,5,2,2,0,5,0,3,1,0,0,1,1,0,5,4,5,3,1,2,0,0,0,1,0,1,0,6,0,1,0,1,1,3,4,11,0,2,0,1,2,0,4,19,19,24,1,0,0,4,5,0,24,0,0,1,3,0,0,0,0,0,0,42,20
Chlorobi,0,0,0,1,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,3,0,0,0,2,27,0,2,59,74,33,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,7
Deferribacteres,0,0,1,0,1,1,2,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,4,6,2,0,1,2,4,0,2,3,6,4,3,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,9,5
Crenarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22
Thermodesulfobacteria,0,0,1,1,7,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,0,1,1,2,0,0,2,2,1,2,1,0,1,0,1,4,0,0,1,0,0,0,0,0,0,0,3,2
Euryarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9
Chrysiogenetes,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
